Latitude,Longitude,Height,time_tag,RS PWV,IR PWV,name,datetime,dayofyear_hour_minute,year,month,day,hour,minute,day/night,season
0.622733477111577,0.896226570899088,1191,A20190200950,5.02,6.87,Tehran,2019-01-20 09:50:00,29390,2019,1,20,9,50,day,Winter
0.622733477111577,0.896226570899088,1191,A20190202150,4.6,3.26,Tehran,2019-01-20 21:50:00,30110,2019,1,20,21,50,night,Winter
0.51417399763753,1.06255644861415,1370,A20190202155,4.53,3.4,Zahedan,2019-01-20 21:55:00,30115,2019,1,20,21,55,night,Winter
0.597949801733257,0.822224610614529,1322,A20190202330,4.02,3.7,Kermanshah,2019-01-20 23:30:00,30210,2019,1,20,23,30,night,Winter
0.664621379159441,0.807738377822976,1361,A20190202330,3.1,3.83,Tabriz,2019-01-20 23:30:00,30210,2019,1,20,23,30,night,Winter
0.573515192205337,1.03323491718064,1491,A20190210855,3.61,4.13,Birjand,2019-01-21 08:55:00,30775,2019,1,21,8,55,day,Winter
0.527962098728285,0.99413954193597,1754,A20190210855,3,5.24,Kerman,2019-01-21 08:55:00,30775,2019,1,21,8,55,day,Winter
0.622733477111577,0.896226570899088,1191,A20190212235,4.77,3.75,Tehran,2019-01-21 22:35:00,31595,2019,1,21,22,35,night,Winter
0.515395728113926,0.917694120698618,1491,A20190212235,3.99,2.93,Shiraz,2019-01-21 22:35:00,31595,2019,1,21,22,35,night,Winter
0.632856386773144,1.04073983296422,990,A20190212235,6.81,3.75,Mashhad,2019-01-21 22:35:00,31595,2019,1,21,22,35,night,Winter
0.51417399763753,1.06255644861415,1370,A20190212235,4.64,3.22,Zahedan,2019-01-21 22:35:00,31595,2019,1,21,22,35,night,Winter
0.546811654649823,0.84945174694564,22,A20190220935,11.76,13.31,Ahwaz,2019-01-22 09:35:00,32255,2019,1,22,9,35,day,Winter
0.573515192205337,1.03323491718064,1491,A20190220935,3.56,3.27,Birjand,2019-01-22 09:35:00,32255,2019,1,22,9,35,day,Winter
0.527962098728285,0.99413954193597,1754,A20190220935,3.43,2.87,Kerman,2019-01-22 09:35:00,32255,2019,1,22,9,35,day,Winter
0.622733477111577,0.896226570899088,1191,A20190220940,5.77,8.45,Tehran,2019-01-22 09:40:00,32260,2019,1,22,9,40,day,Winter
0.566533875197359,0.902509756206268,1550,A20190222140,5.76,3.65,Esfahan,2019-01-22 21:40:00,32980,2019,1,22,21,40,night,Winter
0.515395728113926,0.917694120698618,1491,A20190222140,3.63,2.16,Shiraz,2019-01-22 21:40:00,32980,2019,1,22,21,40,night,Winter
0.632856386773144,1.04073983296422,990,A20190222140,6.26,4.28,Mashhad,2019-01-22 21:40:00,32980,2019,1,22,21,40,night,Winter
0.51417399763753,1.06255644861415,1370,A20190222140,3.69,3.48,Zahedan,2019-01-22 21:40:00,32980,2019,1,22,21,40,night,Winter
0.664621379159441,0.807738377822976,1361,A20190222315,5.29,2.19,Tabriz,2019-01-22 23:15:00,33075,2019,1,22,23,15,night,Winter
0.622733477111577,0.896226570899088,1191,A20190222320,5.69,4.59,Tehran,2019-01-22 23:20:00,33080,2019,1,22,23,20,night,Winter
0.597949801733257,0.822224610614529,1322,A20190222320,5.62,4.15,Kermanshah,2019-01-22 23:20:00,33080,2019,1,22,23,20,night,Winter
0.573515192205337,1.03323491718064,1491,A20190230840,5.09,4.73,Birjand,2019-01-23 08:40:00,33640,2019,1,23,8,40,day,Winter
0.527962098728285,0.99413954193597,1754,A20190230840,4.31,4.86,Kerman,2019-01-23 08:40:00,33640,2019,1,23,8,40,day,Winter
0.632856386773144,1.04073983296422,990,A20190232220,5.53,3.23,Mashhad,2019-01-23 22:20:00,34460,2019,1,23,22,20,night,Winter
0.597949801733257,0.822224610614529,1322,A20190232220,7.18,3.49,Kermanshah,2019-01-23 22:20:00,34460,2019,1,23,22,20,night,Winter
0.664621379159441,0.807738377822976,1361,A20190232220,5.13,3.49,Tabriz,2019-01-23 22:20:00,34460,2019,1,23,22,20,night,Winter
0.622733477111577,0.896226570899088,1191,A20190232225,6.02,2.45,Tehran,2019-01-23 22:25:00,34465,2019,1,23,22,25,night,Winter
0.566533875197359,0.902509756206268,1550,A20190232225,5.71,2.58,Esfahan,2019-01-23 22:25:00,34465,2019,1,23,22,25,night,Winter
0.51417399763753,1.06255644861415,1370,A20190232225,3.76,5.81,Zahedan,2019-01-23 22:25:00,34465,2019,1,23,22,25,night,Winter
0.573515192205337,1.03323491718064,1491,A20190240925,3.62,2.8,Birjand,2019-01-24 09:25:00,35125,2019,1,24,9,25,day,Winter
0.527962098728285,0.99413954193597,1754,A20190240925,6.03,5.15,Kerman,2019-01-24 09:25:00,35125,2019,1,24,9,25,day,Winter
